educstat,city,country,gender,digitools,industry,careerstg,worksame,workcity,salary,typework,sitework,datarole,restofrole,sizeteam,ingestion,transform,warehs,orchest,busint,reversetl,dataqual,datacatalog,cloudplat,noncloudplat,generaltools,whatused,useai,hostedntbk,hardware,depwebsite,depwebres,otherfb,spneeds,volunteer,comms,successmethod,employertype,age_grp
College degree,"Manila, Philippines",Philippines,Female,"Coursera, edX, Freecodecamp, Google Analytics, MicrosoftLearn","IT, BPO, and Business Services",Career shifter,Work city same as residence,Newcastle,"85,001 to 95,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Business Analyst, Analytics Engineer",4 to 5,,,,,"Power BI, Tableau",,,,,,"Google sheets, Excel, Google Drive, Google Meet, Discord",SQL,Chatgpt,,laptop,"No, I just found out now.",,"Azure User Group Manila Meetup, Data and Analytics Manila, Data Ethics PH, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), MS in Data Science - AIM Group, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Co-training/ Training",,LinkedIn,Multinational employer,25 to 29
College degree,"Butuan City, Philippines ",Philippines,Male,Datacamp,Banking / Finance / Insurance,Freelance,Work city different from residence,Taguig,"45,001 to 55, 000",Freelance,Mostly work from home/ fully remote,AI Engineer,"Data Engineer, Data Analyst, Software Engineer, Cloud Architect, Developer",1 - Just me,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, Google Meet",,"Chatgpt, Copilot",,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AI Pilipinas, Robotic Process Automation (RPA) - Manila","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Regularly post content, Volunteer for group initiatives",,Upwork,Multinational employer,25 to 29
College degree,"Quezon City, Philippines",Philippines,Male,Datacamp,Not working,Career shifter,Work city same as residence,Binan,"65,001 to 75,000",Other - specify,Mostly work from home/ fully remote,Data Analyst,"Data Analyst, Developer",1 - Just me,,,,,,,,,"Amazon Web Services (AWS), Microsoft Azure",Don't know,"Google sheets, Excel, Google Drive, OneDrive, MS Teams, Slack, Discord","Python, SQL","No, I do not use AI currently",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Artificial Intelligence Philippines, DEVCON Philippines",,"Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",,LinkedIn,,25 to 29
College degree,Batangas,Philippines,Prefer not to say,"AWS Cloud Certification, Coursera, Datacamp, MicrosoftLearn, W3Schools",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,"Metabase, Preset.io",Don't know,,,,,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Discord",,"No, I do not use AI currently",PythonAnywhere Jupyter Notebook,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Resource for specific topic, Volunteer for group initiatives",,,School,20 to 24
College degree,"Zamboanga Del Norte, Philippines",Philippines,Male,"Udemy, Youtube bootcamp",Healthcare,Career shifter,Work city same as residence,Taguig,"15,001 to 25,000",Full-time,100% onsite,Business Analyst,"Management, Data Engineer, Data Analyst, Business Analyst, Product Advocate",1 - Just me,,,,,,,,,,PostgreSQL,"Google sheets, Excel, MS Teams","Javascript, Python",Chatgpt,Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Regularly post content",,My network  - people I know,Local employer,25 to 29
College degree,"Quezon City, Philippines",Philippines,Female,"Codecademy, Coursera",Non profit,Career shifter,Work city different from residence,Mandaluyong,"55,001 to 65,000",Full-time,100% onsite,"Water supply engineer, data management, power platform",Data Analyst,2 to 3,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Claude, Copilot, Gemini",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives","Not yet. To be honest, I ought to make more time for this and participate more. Will reach out if I have any inputs. Thank you!","LinkedIn, Glassdoor",Multinational employer,35 to 39
Secondary school student,Camarines Sur,Philippines,Male,"Cisco, Coursera, edX, Freecodecamp, HackerRank, LeetCode, MicrosoftLearn, W3Schools, Youtube bootcamp, python crash course book",Education,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, Trello, Slack, Discord","Javascript, SQL, C#","Chatgpt, Copilot, Gemini","Colab Notebooks, VSC jupyter",laptop,"No, I just found out now.","No, I just browsed through.",Python Philippines,"Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives","Proactive posting of different questions weekly, may it be data related or other general topics. A sample would be ""What challenges did you face at work or school that you think can be easily solved by using or leveraging different data handling techniques?""",,Local employer,25 to 29
College degree,"Aleosan, Philippines",Philippines,Male,Datacamp,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), Python, SQL","Chatgpt, Copilot",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Decision to shift",,Week seminars or interview sessions,,,20 to 24
College degree,"Quezon City, Philippines",Philippines,LGBTQ+,"Coursera, LeetCode, Udemy, Youtube bootcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,Excel,SQL,Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Eskwelabs Data Science Aral-Aral Group, Power Apps Pilipinas Community, Python Philippines",Upskill / Skill acquisition,"Answer surveys, Coordinate during events",An active Discord community and a moderated Facebook group since some posts just make me wonder if they're poaching for handfed answers to school projects or God forbid work interview,,,<19
College degree,Pateros,Philippines,Male,"Coursera, Udacity, free version only, also youtube but not bootcamp",Education,Professional,Work city different from residence,"Benguet State University - Bokod Campus, Bukod, Benguet","35,001 to 45,000",Contract fixed timeline,100% onsite,Management,"Data Engineer, Data Analyst",2 to 3,,,,,,,,,,PostgreSQL,"Google sheets, Google Drive, MS Teams, Discord",,Gemini,,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Network","Answer surveys, Coordinate during events, Joint initiative with other groups",,My network  - people I know,Local employer,30 to 34
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, MicrosoftLearn, Udemy","IT, BPO, and Business Services",Career shifter,Work city different from residence,Taguig City,"250,001 and above",Full-time,Mostly work from home/ fully remote,Data Engineer,"Management, Software Engineer, Analytics Engineer",2 to 3,Don't know,Don't know,Don't know,Don't know,"Power BI, Tableau",Don't know,Don't know,Don't know,Amazon Web Services (AWS),Don't know,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Asana, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Javascript, VBA","Chatgpt, Gemini","Azure Notebooks, Databricks Collaborative Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, Project SPARTA, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition, Network",Resource for specific topic,,"LinkedIn, OnlineJobs.ph, Facebook groups",Multinational employer,35 to 39
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, Udemy",Own Business/ Consultancy/Freelance,Career shifter,Work city same as residence,"MOA Complex, Pasay City","15,001 to 25,000",Full-time,100% onsite,Software Engineer,Academic,6 to 10,Don't know,Don't know,Don't know,Don't know,Power BI,Don't know,Don't know,Don't know,,Don't know,"Google sheets, Google Drive, Discord",Javascript,"Copilot, Gemini",none,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Programmers,Developers, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,,Indeed,Local employer,25 to 29
College degree,Batangas,Philippines,Male,"Cisco, Datacamp, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",Python,Gemini,none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Volunteer for group initiatives","By reaching out to them first and start a small conversation like question answer portion, so that their will be an interactive communication.",,Local employer,30 to 34
Other - specify,Laguna,Philippines,LGBTQ+,"AWS Cloud Certification, edX, Google Developers, HackerRank, LeetCode, LinkedIn Learning, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,Clark,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Engineer,Data Engineer,2 to 3,Don't know,Don't know,Don't know,Don't know,Power BI,Don't know,Don't know,Don't know,Microsoft Azure,Don't know,"Excel, Google Drive, OneDrive, Trello, MS Teams, Discord","DAX (Power BI), M language (Power Query), VBA","Chatgpt, Gemini","Kaggle Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.",,Upskill / Skill acquisition,"Mentor, Co-training/ Training",Soft skills training,LinkedIn,Multinational employer,30 to 34
College degree,"Bocaue, Bulacan, Philippines",Philippines,Male,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Chicago Illinois USA,"25,001 to 35,000",Full-time,Hybrid,Software Engineer,"Data Scientist, Machine Learning Engineer",1 - Just me,,Pandas,"Don't know, None",,Don't know,Don't know,"Don't know, None",Don't know,Google Cloud Platform (GCP),,"Google sheets, Excel, Google Drive, Google Meet",SQL,"Chatgpt, Claude, Gemini, Groq, Perplexity",Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",,LinkedIn,Local employer,20 to 24
Secondary school student,"San Jose City, Nueva Ecija",Philippines,LGBTQ+,"HackerRank, Udemy",Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, SQL, Excel (data cleaning and visualization), tableau","Chatgpt, Copilot, Gemini, Github copilot",,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,Upskill / Skill acquisition,Answer surveys,members should always be active and cooperate with activities within the group,,Multinational employer,<19
Master's degree,Pangasinan,Philippines,Male,"Google Analytics, Pluralsight, Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,Melbourne,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,customers service,Management,6 to 10,Don't know,Don't know,,,,,,,,,"Excel, Google Drive, OneDrive, MS Teams, Discord",,Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition",,Soft skills training,My network  - people I know,Local employer,30 to 34
College degree,"General Santos City, Philippines",Philippines,Male,"Cybrary, Datacamp",Own Business/ Consultancy/Freelance,Professional,Work city same as residence,Taguig City,"15,000 and below",Full-time,Mostly work from home/ fully remote,Data Analyst,Data Analyst,2 to 3,,Pandas,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, MS Teams",Python,"Chatgpt, Gemini",Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Lead a study group, Regularly post content, Resource for specific topic, Volunteer for group initiatives, Volunteer to speak in events",,"Indeed, Jobstreet",Multinational employer,35 to 39
Other - specify,Baliwag,Philippines,Male,"Cisco, Freecodecamp, Udemy, Youtube bootcamp",Social Welfare and Development,Beginner level,Work city same as residence,"Naga City, Philippines","15,001 to 25,000",Contract fixed timeline,100% onsite,Academic,Techinical assistance,2 to 3,,,,,,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",,"Google sheets, Excel, Google Drive, Zoom, Discord","Python, SQL",Chatgpt,Not currently using any hosted notebook products.,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Co-training/ Training",,"LinkedIn, Upwork",Local employer,30 to 34
College degree,"Davao City, Philippines",Philippines,Male,"Coursera, Datacamp, Git Hub Learning Lab, LeetCode, LinkedIn Learning, O'Reilly Online Learning, Pluralsight, Real Python, Udemy, W3Schools, Youtube bootcamp",Not working,Student/ New grad/ Career Break,,,,,,,,,,,Don't know,,,,,,IBM Cloud,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack, Discord","These past few months, I used excel for Data Analytics Fundamental course subject and Cisco for Computer Networks course subject","Chatgpt, Gemini","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Data Analytics Philippines, Data Science Philippines, Data Science World - R & Python Free Courses, Datasense Philippines, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",,,,,20 to 24
College degree,"Gen. Trias City, Cavite, Philippines",Philippines,Male,"Codecademy, Coursera, Datacamp, Freecodecamp, Kaggle Online course, Udemy, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Professional,Work city different from residence,Borongan City ,"15,001 to 25,000",Contract fixed timeline,100% onsite,Cost Engineer,Process control,1 - Just me,,,,,Power BI,,,,,,"Google sheets, Google Drive, Zoom, Google Meet, Slack","Python, SQL",Chatgpt,Kaggle Notebooks,workstation,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Mentor, Volunteer for group initiatives",,My network  - people I know,Local employer,40 to 44
College degree,"Quezon City, Philippines",Philippines,Prefer not to say,Coursera,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Trello, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), Python, SQL",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Data Science Philippines, DataScience.PH","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,"Providing constructive feedback, and posting meaningful and relevant queries that have substance.",,Local employer,
Master's degree,"Paranaque, Philippines",Philippines,Male,"AWS Cloud Certification, Git Hub Learning Lab, IBM Skills Gateway, Kaggle Online course, LeetCode, LinkedIn Learning, MicrosoftLearn, W3Schools",Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Excel, Zoom, MS Teams, Slack, Discord","Python, R, SQL",Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.",,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",,,Career break,30 to 34
Master's degree,"Santa Rosa, Philippines",Philippines,Male,W3Schools,Not working,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Discord","Python, R, SQL",Amethyst,"Kaggle Notebooks, Colab Notebooks",desktop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Resource for specific topic",,,,55+
College degree,"Mandaluyong, Philippines",Philippines,Male,"Cisco, Coursera, Google Analytics, Youtube bootcamp","IT, BPO, and Business Services",Career shifter,Work city different from residence,Makati,"15,001 to 25,000",Full-time,100% onsite,Developer,Helpdesk,1 - Just me,Don't know,Don't know,,,Power BI,,,,Don't know,,Excel,"Python, R, SQL","Chatgpt, Gemini",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Artificial Intelligence Philippines, DEVCON Philippines","Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Resource for specific topic",Make post less intimidating. Data dictionary/dictionary available for the beginners where they can look up unfamiliar words but will be commonly use.,LinkedIn,Local employer,20 to 24
College degree,"Borongan City, Eastern Samar",Philippines,Male,"Datacamp, Udemy, W3Schools, Youtube bootcamp",Accounting,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Dropbox, Google Drive, Zoom, Google Meet, Discord","Python, SQL","Chatgpt, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Artificial Intelligence Philippines, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), Python Philippines, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,,,Student ,20 to 24
College degree,"Puerto Princesa, Philippines",Philippines,Female,"Coursera, Datacamp, edX, Udemy","IT, BPO, and Business Services",Professional,Work city different from residence,Pasay,"25,001 to 35,000",Full-time,Hybrid,consulting,"Data Scientist, Machine Learning Engineer",30+,,,,,Tableau,,,,,PostgreSQL,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack",,"Chatgpt, Copilot",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, DEVCON Philippines, FTW Foundation, Power BI Philippines UG, Project SPARTA, Python Philippines, She loves data, She Loves Data Group, Women Who Code Manila","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Connect with sponsors, Joint initiative with other groups, Mentor, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",,My network  - people I know,Multinational employer,30 to 34
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, DICT","IT, BPO, and Business Services",Career shifter,Work city different from residence,Manila,"15,001 to 25,000",Full-time,"Hybrid - first half at home, then usually go to the office for the latter half until I finish the rest of my shift.",Data Analyst,Government Employee,2 to 3,,,,,,,,,,,"Google sheets, Excel, Google Drive, MS Teams",,Chatgpt,,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Project SPARTA, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",,Social Media (FB ad),Multinational employer,20 to 24
College degree,"Marikina, Philippines",Philippines,Male,"Cisco, Cybrary, Datacamp, Freecodecamp, Khan Academy, MicrosoftLearn, Real Python, SoloLearn, W3Schools",Civil Engineering,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google Drive, Google Meet, Discord",Python,Chatgpt,Not currently using any hosted notebook products.,laptop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Power BI Philippines UG, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",,,Local employer,35 to 39
College degree,"Quezon City, Philippines",Philippines,Male,"AWS Cloud Certification, Udemy",Energy,Career shifter,Work city different from residence,BGC,"15,001 to 25,000",Contract fixed timeline,Field work or area,Data Scientist,"Data Analyst, Insights Analyst",11 to 30,PHU,,,,Power BI,,,,,,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, MS Teams, Google Meet, Slack",SQL,,"Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks, PythonAnywhere Jupyter Notebook, Replit",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines, DEVCON Community Group, DEVCON Philippines, Digital Analytics Philippines, Java User Group Philippines, Power BI Philippines UG, Power BI Users Meetup, Python Philippines, SPARTA PH: Data Engineer",,"Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",,LinkedIn,Local employer,20 to 24
College degree,"Manila, Philippines",Philippines,Female,"Datacamp, Kaggle Online course, Udemy, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Javascript, Python, SQL",Chatgpt,Anaconda Notebooks-Jupiter,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Co-training/ Training",,,Multinational employer,20 to 24
College degree,"Manila, Philippines",Philippines,Female,"edX, SoloLearn",Not working,Student/ New grad/ Career Break,,,,,,,,,,,Don't know,,,,Don't know,Don't know,"Microsoft Azure, Snowflake, Databricks",,"Google sheets, Excel, Google Drive, MS Teams, Discord",SQL,"No, I do not use AI currently",,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Mentor",,,,
Secondary school student,"Makati, Philippines",Philippines,Female,W3Schools,Not working,Student/ New grad/ Career Break,,,,,,,,,,,Don't know,,"Power BI, Tableau, SQL Server Reporting Services (SSRS)",Don't know,Don't know,Don't know,"None, not applicable","Apache Kafka, MongoDB, PostgreSQL","Google sheets, Excel, Google Drive, Google Meet, Notion","Javascript, Python, SQL",Chatgpt,No idea,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, Datasense Philippines, SPARTA PH: Data Engineer",Upskill / Skill acquisition,"Answer surveys, Coordinate during events, Co-training/ Training","I cannot think of any more ways since the Page, the Group and there are channels/Community Chats in the Messenger that I sometimes open so that I can read and learn those who are having a problem and those who are giving solutions to it.",,,20 to 24
College degree,"Antipolo City, Philippines",Philippines,Male,"LeetCode, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city same as residence,"Makati, Manila","15,000 and below",Full-time,Mostly work from home/ fully remote,Automation,Not Working ,1 - Just me,Don't know,"Don't know, None","None, ",Don't know,Looker,,Great Expectations,,Databricks,Apache Spark,"Google sheets, Excel, Google Drive, Google Meet, Discord",SQL,Chatgpt,Databricks Collaborative Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines, DevOps Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Co-training/ Training, Volunteer for group initiatives","To have high engagement within the group, I think it would be good to have a weekly quizzes to know if they're absolutely learning and have monthly kamustahan & quick catch-up on what's going on within the data world.",OnlineJobs.ph,Multinational employer,30 to 34
College degree,"Binan city, philippines",Philippines,Male,"AWS Cloud Certification, Git Hub Learning Lab, IBM Skills Gateway, Kaggle Online course, LeetCode, LinkedIn Learning, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Career shifter,Work city same as residence,Quezon City ,"15,000 and below",Full-time,100% onsite,Technical Support ,Data Analyst,6 to 10,,,"Snowflake, Vertica, MSSQL",Airflow,,,,,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake",,"Google sheets, Excel, Google Drive, Zoom, Discord",R,Chatgpt,,desktop,"No, I just found out now.","Yes, I have used at least one resource.","AI Pilipinas, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,,"LinkedIn, Glassdoor",Local employer,35 to 39
College degree,"Antipolo, Rizal",Philippines,Male,"Coursera, Datacamp","IT, BPO, and Business Services",Career shifter,Work city different from residence,Mandaluyong city,"25,001 to 35,000",Full-time,100% onsite,Management,"Data Scientist, Machine Learning Engineer",6 to 10,,,,,Power BI,,,,,,"Excel, Google Drive",RPG/400,Chatgpt,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives",,My network  - people I know,Local employer,20 to 24
Master's degree,"Paranaque, Philippines",Philippines,Male,"AWS Cloud Certification, Codecademy, Cybrary, Git Hub Learning Lab, Google Developers, IBM Skills Gateway, Pluralsight, Real Python, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Professional,Work city different from residence,Cavite City,"125,001 to 250, 000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Management, Data Engineer, Data Analyst, Business Analyst, Analytics Engineer, Cloud Architect",11 to 30,,Power Bi (power query),,,,,,,"Amazon Web Services (AWS), Microsoft Azure",,"Google sheets, Excel, Google Drive, OneDrive, MS Teams","Python, VBA, Matlab","Chatgpt, Copilot",,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Joint initiative with other groups,,LinkedIn,Multinational employer,25 to 29
Other - specify,"Davao City, Philippines",Philippines,Male,LinkedIn Learning,Education,Student/ New grad/ Career Break,,,,,,,,,,,,,,,,,,,"Google Drive, Discord","Python, SQL","Chatgpt, Copilot, Gemini, Github copilot",Azure Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Data Science Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",nothing as of the moment,,Local employer,20 to 24
College degree,"Manila, Philippines",Philippines,Male,"AWS Cloud Certification, Datacamp, IBM Skills Gateway, Kaggle Online course, LeetCode, MicrosoftLearn","IT, BPO, and Business Services",Career shifter,Work city different from residence,East Melbourne,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Analytics Engineer, Product Advocate, UI/UX Designer",6 to 10,"Don't know, None","Don't know, None",Databricks,,Looker,,Don't know,,"Microsoft Azure, Databricks",Don't know,"Google sheets, Excel, Google Drive, OneDrive","Python, R, SQL",Chatgpt,,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power Apps Pilipinas Community, Power BI Philippines UG, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Resource for specific topic, Volunteer for group initiatives",,"LinkedIn, Indeed",Multinational employer,30 to 34
