Latest education status,"City of Residence, current","Country of Residence, current",Gender,Choose the digital tools you are currently using for learning:,Industry that you are currently in:,Current stage of DATA CAREER,Is your work city the same as your city of residence?,Work location - specify city,Monthly Salary Range (Or monthly income from main source),Type of work,Work set-up,What best describes MAJORITY of your day-to-day role?,What other descriptions comprise the REST of your role? (Click all that apply),What is the size of your Data Team?,What are the data INGESTION tools you currently use? (Optional),What are the data TRANSFORMATION tools you currently use?  (Optional),What are the data WAREHOUSES you currently use?   (Optional),What are the data ORCHESTRATION tools you currently use?   (Optional),What are the BUSINESS INTELLIGENCE tools you currently use?  (Optional),What are the REVERSE ETL tools you currently use?   (Optional),What are the DATA QUALITY tools you currently use? (Optional),What are the DATA CATALOGS you currently use?   (Optional),What are the cloud platforms that you currently use?    (Optional),What are the non-cloud platforms that you currently use?  (Optional),Which of the following general tools do you use? Choose all that apply.,Which of the following do you use on a regular basis? Choose all that apply.,Do you currently use AI in your workflow or study? Choose all that apply.,Do you use any of the following hosted notebook products?,What hardware do you currently use for data?,Whether or not aware of the free resources in the DEP website,"If aware of the free resources, have you used at least one of the resources in the DEP website?","Thinking of data-related communities, what other Facebook communities do you follow?",Any specific needs you are trying to address by joining DEP Facebook group?,"Any specific tasks, skills, knowledge or resources you are willing to contribute to the group?","Thinking of ways to improve communications in the group, do you have any suggestions?","Thinking of your most recent job, which platform or method gave you the most success?",Type of employer,Age
College degree,"Zamboanga Del Norte, Philippines",Philippines,Male,"Udemy, Youtube bootcamp",Healthcare,Career shifter,Work city same as residence,Taguig,"15,001 to 25,000",Full-time,100% onsite,Business Analyst,"Management, Data Engineer, Data Analyst, Business Analyst, Product Advocate",1 - Just me,NA,none,NONE,.,_, ,NONE,N/A,na,PostgreSQL,"Google sheets, Excel, MS Teams","Javascript, Python",Chatgpt,Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.", ,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Regularly post content",N/A,My network  - people I know,Local employer,27
College degree,"Quezon City, Philippines",Philippines,Female,"Codecademy, Coursera",Non profit,Career shifter,Work city different from residence,Mandaluyong,"55,001 to 65,000",Full-time,100% onsite,"Water supply engineer, data management, power platform",Data Analyst,2 to 3,None,.,None, ,  ,na,.,na,_,  ,"Google sheets, Excel, Google Drive, OneDrive, Clickup, Zoom, MS Teams, Google Meet, Discord","Python, SQL","Chatgpt, Claude, Copilot, Gemini", ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",_,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Joint initiative with other groups, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives","Not yet. To be honest, I ought to make more time for this and participate more. Will reach out if I have any inputs. Thank you!","LinkedIn, Glassdoor",Multinational employer,36
Secondary school student,Camarines Sur,Philippines,Male,"Cisco, Coursera, edX, Freecodecamp, HackerRank, LeetCode, MicrosoftLearn, W3Schools, Youtube bootcamp, python crash course book",Education,Student/ New grad/ Career Break,NA,NA,,  ,_, ,  ,_,None,NONE,NA,  , ,none,na,na,na,N/A,"Excel, Google Drive, Trello, Slack, Discord","Javascript, SQL, C#","Chatgpt, Copilot, Gemini","Colab Notebooks, VSC jupyter",laptop,"No, I just found out now.","No, I just browsed through.",Python Philippines,"Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives","Proactive posting of different questions weekly, may it be data related or other general topics. A sample would be ""What challenges did you face at work or school that you think can be easily solved by using or leveraging different data handling techniques?""",na,Local employer,26
College degree,"Aleosan, Philippines",Philippines,Male,Datacamp,Not working,Student/ New grad/ Career Break,NA,N/A,,NONE,.,.,_,NA,na,NA,none,na,na, ,NONE,  , ,_,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Appscript (Google), Python, SQL","Chatgpt, Copilot",na,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",none,"Career advancement, Continued learning, Decision to shift",None,Week seminars or interview sessions,  ,na,23
College degree,"Quezon City, Philippines",Philippines,LGBTQ+,"Coursera, LeetCode, Udemy, Youtube bootcamp",Not working,Student/ New grad/ Career Break,na,  ,,None,.,N/A,none,_, ,.,  ,  ,None,N/A,_,None,NA,NA,Excel,SQL,Chatgpt,na,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Eskwelabs Data Science Aral-Aral Group, Power Apps Pilipinas Community, Python Philippines",Upskill / Skill acquisition,"Answer surveys, Coordinate during events",An active Discord community and a moderated Facebook group since some posts just make me wonder if they're poaching for handfed answers to school projects or God forbid work interview,na,None,16
College degree,Pateros,Philippines,Male,"Coursera, Udacity, free version only, also youtube but not bootcamp",Education,Professional,Work city different from residence,"Benguet State University - Bokod Campus, Bukod, Benguet","35,001 to 45,000",Contract fixed timeline,100% onsite,Management,"Data Engineer, Data Analyst",2 to 3,NONE,NONE,_,NA,na,NA,none,None,None,PostgreSQL,"Google sheets, Google Drive, MS Teams, Discord",  ,Gemini,N/A,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",.,"Career advancement, Continued learning, Network","Answer surveys, Coordinate during events, Joint initiative with other groups",None,My network  - people I know,Local employer,31
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, MicrosoftLearn, Udemy","IT, BPO, and Business Services",Career shifter,Work city different from residence,Taguig City,"250,001 and above",Full-time,Mostly work from home/ fully remote,Data Engineer,"Management, Software Engineer, Analytics Engineer",2 to 3,Don't know,Don't know,Don't know,Don't know,"Power BI, Tableau",Don't know,Don't know,Don't know,Amazon Web Services (AWS),Don't know,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, Asana, Trello, Zoom, MS Teams, Google Meet, Slack, Discord","Javascript, VBA","Chatgpt, Gemini","Azure Notebooks, Databricks Collaborative Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","[Manila] BIG DATA Tech Group, Project SPARTA, SPARTA PH: Data Engineer","Continued learning, Upskill / Skill acquisition, Network",Resource for specific topic,NA,"LinkedIn, OnlineJobs.ph, Facebook groups",Multinational employer,35
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, Udemy",Own Business/ Consultancy/Freelance,Career shifter,Work city same as residence,"MOA Complex, Pasay City","15,001 to 25,000",Full-time,100% onsite,Software Engineer,Academic,6 to 10,Don't know,Don't know,Don't know,Don't know,Power BI,Don't know,Don't know,Don't know, ,Don't know,"Google sheets, Google Drive, Discord",Javascript,"Copilot, Gemini",none,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Community: SPARTA PH, Data Analytics Philippines, Datasense Philippines, Programmers,Developers, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,  ,Indeed,Local employer,25
College degree,Batangas,Philippines,Male,"Cisco, Datacamp, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Student/ New grad/ Career Break,N/A, ,,na, ,.,None,N/A,NA,NONE,NA,NONE,NA,N/A,NONE,NA,  ,na,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord",Python,Gemini,none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",NA,"Continued learning, Upskill / Skill acquisition","Answer surveys, Connect with sponsors, Volunteer for group initiatives","By reaching out to them first and start a small conversation like question answer portion, so that their will be an interactive communication.",.,Local employer,33
Other - specify,Laguna,Philippines,LGBTQ+,"AWS Cloud Certification, edX, Google Developers, HackerRank, LeetCode, LinkedIn Learning, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,Clark,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Engineer,Data Engineer,2 to 3,Don't know,Don't know,Don't know,Don't know,Power BI,Don't know,Don't know,Don't know,Microsoft Azure,Don't know,"Excel, Google Drive, OneDrive, Trello, MS Teams, Discord","DAX (Power BI), M language (Power Query), VBA","Chatgpt, Gemini","Kaggle Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.",  ,Upskill / Skill acquisition,"Mentor, Co-training/ Training",Soft skills training,LinkedIn,Multinational employer,31
College degree,"Bocaue, Bulacan, Philippines",Philippines,Male,Datacamp,"IT, BPO, and Business Services",Career shifter,Work city different from residence,Chicago Illinois USA,"25,001 to 35,000",Full-time,Hybrid,Software Engineer,"Data Scientist, Machine Learning Engineer",1 - Just me,none,Pandas,"Don't know, None",  ,Don't know,Don't know,"Don't know, None",Don't know,Google Cloud Platform (GCP), ,"Google sheets, Excel, Google Drive, Google Meet",SQL,"Chatgpt, Claude, Gemini, Groq, Perplexity",Kaggle Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",na,"Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Joint initiative with other groups, Regularly post content, Resource for specific topic, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",N/A,LinkedIn,Local employer,23
Secondary school student,"San Jose City, Nueva Ecija",Philippines,LGBTQ+,"HackerRank, Udemy",Own Business/ Consultancy/Freelance,Student/ New grad/ Career Break,None,N/A,,None,NONE,NA,na,none,NA, ,NA,None,na,None,_,N/A,NA,_,"Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Python, SQL, Excel (data cleaning and visualization), tableau","Chatgpt, Copilot, Gemini, Github copilot",None,laptop,"No, I just found out now.","No, I just browsed through.",Data Analytics Philippines,Upskill / Skill acquisition,Answer surveys,members should always be active and cooperate with activities within the group,none,Multinational employer,19
Master's degree,Pangasinan,Philippines,Male,"Google Analytics, Pluralsight, Udemy, W3Schools, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city different from residence,Melbourne,"25,001 to 35,000",Full-time,Mostly work from home/ fully remote,customers service,Management,6 to 10,Don't know,Don't know,none,none,NONE, ,  ,.,None,N/A,"Excel, Google Drive, OneDrive, MS Teams, Discord",  ,Chatgpt, ,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Data Analytics Philippines","Career advancement, Continued learning, Upskill / Skill acquisition",na,Soft skills training,My network  - people I know,Local employer,33
College degree,"General Santos City, Philippines",Philippines,Male,"Cybrary, Datacamp",Own Business/ Consultancy/Freelance,Professional,Work city same as residence,Taguig City,"15,000 and below",Full-time,Mostly work from home/ fully remote,Data Analyst,Data Analyst,2 to 3,  ,Pandas,NONE,_,NA,  ,NONE,na,NA, ,"Google sheets, Excel, Google Drive, OneDrive, MS Teams",Python,"Chatgpt, Gemini",Colab Notebooks,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Data Science Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Lead a study group, Regularly post content, Resource for specific topic, Volunteer for group initiatives, Volunteer to speak in events",  ,"Indeed, Jobstreet",Multinational employer,36
Other - specify,Baliwag,Philippines,Male,"Cisco, Freecodecamp, Udemy, Youtube bootcamp",Social Welfare and Development,Beginner level,Work city same as residence,"Naga City, Philippines","15,001 to 25,000",Contract fixed timeline,100% onsite,Academic,Techinical assistance,2 to 3,NA, ,  ,.,NONE, ,_,none,"Amazon Web Services (AWS), Google Cloud Platform (GCP)",none,"Google sheets, Excel, Google Drive, Zoom, Discord","Python, SQL",Chatgpt,Not currently using any hosted notebook products.,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.",_,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Co-training/ Training",None,"LinkedIn, Upwork",Local employer,31
College degree,"Davao City, Philippines",Philippines,Male,"Coursera, Datacamp, Git Hub Learning Lab, LeetCode, LinkedIn Learning, O'Reilly Online Learning, Pluralsight, Real Python, Udemy, W3Schools, Youtube bootcamp",Not working,Student/ New grad/ Career Break,.,none,,N/A,NONE,none,.,None,NA,_,Don't know,  ,_,  ,.,None,IBM Cloud,na,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Slack, Discord","These past few months, I used excel for Data Analytics Fundamental course subject and Cisco for Computer Networks course subject","Chatgpt, Gemini","Kaggle Notebooks, Colab Notebooks",laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Big Data Analytics PH, Data Analytics Philippines, Data Science Philippines, Data Science World - R & Python Free Courses, Datasense Philippines, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network",_,.,na,_,22
College degree,"Gen. Trias City, Cavite, Philippines",Philippines,Male,"Codecademy, Coursera, Datacamp, Freecodecamp, Kaggle Online course, Udemy, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Professional,Work city different from residence,Borongan City ,"15,001 to 25,000",Contract fixed timeline,100% onsite,Cost Engineer,Process control,1 - Just me,na,None, ,  ,Power BI, ,None,None,  ,  ,"Google sheets, Google Drive, Zoom, Google Meet, Slack","Python, SQL",Chatgpt,Kaggle Notebooks,workstation,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Mentor, Volunteer for group initiatives",None,My network  - people I know,Local employer,43
College degree,"Quezon City, Philippines",Philippines,Prefer not to say,Coursera,Not working,Student/ New grad/ Career Break,NONE,none,,  ,None,na,none,NONE,na, ,NONE,_,None,None, ,_,NA,.,"Google sheets, Excel, Google Drive, Trello, Zoom, MS Teams, Google Meet, Discord","DAX (Power BI), M language (Power Query), Python, SQL",Chatgpt,none,laptop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","Data Analytics Philippines, Data Science Philippines, DataScience.PH","Career advancement, Continued learning, Upskill / Skill acquisition, Network",Answer surveys,"Providing constructive feedback, and posting meaningful and relevant queries that have substance.",N/A,Local employer,na
Master's degree,"Paranaque, Philippines",Philippines,Male,"AWS Cloud Certification, Git Hub Learning Lab, IBM Skills Gateway, Kaggle Online course, LeetCode, LinkedIn Learning, MicrosoftLearn, W3Schools",Not working,Student/ New grad/ Career Break,_,_,,N/A, ,None,NONE,none,none,none,na,None,NA,na,  ,na, ,None,"Excel, Zoom, MS Teams, Slack, Discord","Python, R, SQL",Chatgpt,"Colab Notebooks, PythonAnywhere Jupyter Notebook",laptop,"No, I just found out now.","No, I just browsed through.",none,"Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",_,None,Career break,33
Master's degree,"Santa Rosa, Philippines",Philippines,Male,W3Schools,Not working,Student/ New grad/ Career Break,_,_,,NA,NONE,NONE, ,NA,NA,_,  ,  ,_,_,NA,  ,na,NA,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Discord","Python, R, SQL",Amethyst,"Kaggle Notebooks, Colab Notebooks",desktop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines","Career advancement, Upskill / Skill acquisition, Network","Answer surveys, Resource for specific topic",NA,NONE,none,55
College degree,"Mandaluyong, Philippines",Philippines,Male,"Cisco, Coursera, Google Analytics, Youtube bootcamp","IT, BPO, and Business Services",Career shifter,Work city different from residence,Makati,"15,001 to 25,000",Full-time,100% onsite,Developer,Helpdesk,1 - Just me,Don't know,Don't know,na,N/A,Power BI,na,na,none,Don't know,NONE,Excel,"Python, R, SQL","Chatgpt, Gemini",Colab Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Artificial Intelligence Philippines, DEVCON Philippines","Continued learning, Upskill / Skill acquisition","Answer surveys, Coordinate during events, Joint initiative with other groups, Resource for specific topic",Make post less intimidating. Data dictionary/dictionary available for the beginners where they can look up unfamiliar words but will be commonly use.,LinkedIn,Local employer,23
College degree,"Borongan City, Eastern Samar",Philippines,Male,"Datacamp, Udemy, W3Schools, Youtube bootcamp",Accounting,Student/ New grad/ Career Break,  ,None,,N/A,none,  ,NA,none,N/A,N/A,N/A,na,None, ,None, ,NA,N/A,"Google sheets, Excel, Dropbox, Google Drive, Zoom, Google Meet, Discord","Python, SQL","Chatgpt, Gemini",PythonAnywhere Jupyter Notebook,laptop,"No, I just found out now.","No, I just browsed through.","Analytics Association of the Philippines, Artificial Intelligence Philippines, Data Science Manila, Data Science Philippines, Data Science Philippines Discussion Group (Moderated), Python Philippines, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys,NONE,None,Student ,23
College degree,"Puerto Princesa, Philippines",Philippines,Female,"Coursera, Datacamp, edX, Udemy","IT, BPO, and Business Services",Professional,Work city different from residence,Pasay,"25,001 to 35,000",Full-time,Hybrid,consulting,"Data Scientist, Machine Learning Engineer",30+,none,NONE,NA,N/A,Tableau,NONE,NA, ,na,PostgreSQL,"Google sheets, Excel, Google Drive, OneDrive, Zoom, MS Teams, Google Meet, Slack",na,"Chatgpt, Copilot",N/A,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Analytics Association of the Philippines, Community: SPARTA PH, DEVCON Philippines, FTW Foundation, Power BI Philippines UG, Project SPARTA, Python Philippines, She loves data, She Loves Data Group, Women Who Code Manila","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Connect with sponsors, Joint initiative with other groups, Mentor, Regularly post content, Volunteer for group initiatives, Volunteer to speak in events",N/A,My network  - people I know,Multinational employer,30
College degree,"Quezon City, Philippines",Philippines,Male,"Datacamp, DICT","IT, BPO, and Business Services",Career shifter,Work city different from residence,Manila,"15,001 to 25,000",Full-time,"Hybrid - first half at home, then usually go to the office for the latter half until I finish the rest of my shift.",Data Analyst,Government Employee,2 to 3,.,NA,NA,None,NA,na,  ,NONE,None,na,"Google sheets, Excel, Google Drive, MS Teams",  ,Chatgpt,NONE,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Project SPARTA, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Coordinate during events, Joint initiative with other groups, Lead a study group, Mentor, Co-training/ Training, Volunteer for group initiatives, Volunteer to speak in events",None,Social Media (FB ad),Multinational employer,21
College degree,"Marikina, Philippines",Philippines,Male,"Cisco, Cybrary, Datacamp, Freecodecamp, Khan Academy, MicrosoftLearn, Real Python, SoloLearn, W3Schools",Civil Engineering,Student/ New grad/ Career Break,.,NONE,,  ,NONE,None, ,na,.,NONE,NA,.,.,none,_,NA, ,None,"Google Drive, Google Meet, Discord",Python,Chatgpt,Not currently using any hosted notebook products.,laptop,"No, I just found out now.","No, I just browsed through.","Community: SPARTA PH, Data Analytics Philippines, Power BI Philippines UG, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events",na,none,Local employer,38
College degree,"Quezon City, Philippines",Philippines,Male,"AWS Cloud Certification, Udemy",Energy,Career shifter,Work city different from residence,BGC,"15,001 to 25,000",Contract fixed timeline,Field work or area,Data Scientist,"Data Analyst, Insights Analyst",11 to 30,PHU,none,none,N/A,Power BI,na,_,  ,N/A, ,"Google sheets, Excel, Dropbox, Google Drive, OneDrive, MS Teams, Google Meet, Slack",SQL,  ,"Colab Notebooks, Google Cloud Vertex AI Workbench, Databricks Collaborative Notebooks, PythonAnywhere Jupyter Notebook, Replit",laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","AI Pilipinas, Big Data Analytics PH, Data Analytics Philippines, Datasense Philippines, DEVCON Community Group, DEVCON Philippines, Digital Analytics Philippines, Java User Group Philippines, Power BI Philippines UG, Power BI Users Meetup, Python Philippines, SPARTA PH: Data Engineer",none,"Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Co-training/ Training, Volunteer for group initiatives",N/A,LinkedIn,Local employer,21
College degree,"Manila, Philippines",Philippines,Female,"Datacamp, Kaggle Online course, Udemy, Youtube bootcamp","IT, BPO, and Business Services",Student/ New grad/ Career Break, ,NONE,,NA,NA,na,.,none,none,NA,  ,NA,NA,NONE,.,_,na,_,"Google sheets, Excel, Google Drive, Zoom, MS Teams, Google Meet, Discord","Javascript, Python, SQL",Chatgpt,Anaconda Notebooks-Jupiter,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.",na,"Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Co-training/ Training",N/A,NONE,Multinational employer,24
College degree,"Manila, Philippines",Philippines,Female,"edX, SoloLearn",Not working,Student/ New grad/ Career Break,none,NONE,,NONE,N/A,N/A, , ,  ,  ,Don't know, ,NA,.,Don't know,Don't know,"Microsoft Azure, Snowflake, Databricks",None,"Google sheets, Excel, Google Drive, MS Teams, Discord",SQL,"No, I do not use AI currently",na,desktop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Project SPARTA","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition, Network","Answer surveys, Mentor",N/A,NONE,na, 
Secondary school student,"Makati, Philippines",Philippines,Female,W3Schools,Not working,Student/ New grad/ Career Break,NONE,NONE,,none,NA,_,na,none,N/A,na,Don't know,na,"Power BI, Tableau, SQL Server Reporting Services (SSRS)",Don't know,Don't know,Don't know,"None, not applicable","Apache Kafka, MongoDB, PostgreSQL","Google sheets, Excel, Google Drive, Google Meet, Notion","Javascript, Python, SQL",Chatgpt,No idea,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Science Philippines, Datasense Philippines, SPARTA PH: Data Engineer",Upskill / Skill acquisition,"Answer surveys, Coordinate during events, Co-training/ Training","I cannot think of any more ways since the Page, the Group and there are channels/Community Chats in the Messenger that I sometimes open so that I can read and learn those who are having a problem and those who are giving solutions to it.",none,NA,23
College degree,"Antipolo City, Philippines",Philippines,Male,"LeetCode, Youtube bootcamp","IT, BPO, and Business Services",Professional,Work city same as residence,"Makati, Manila","15,000 and below",Full-time,Mostly work from home/ fully remote,Automation,Not Working ,1 - Just me,Don't know,"Don't know, None","None, ",Don't know,Looker,_,Great Expectations,none,Databricks,Apache Spark,"Google sheets, Excel, Google Drive, Google Meet, Discord",SQL,Chatgpt,Databricks Collaborative Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Datasense Philippines, DevOps Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Co-training/ Training, Volunteer for group initiatives","To have high engagement within the group, I think it would be good to have a weekly quizzes to know if they're absolutely learning and have monthly kamustahan & quick catch-up on what's going on within the data world.",OnlineJobs.ph,Multinational employer,31
College degree,"Binan city, philippines",Philippines,Male,"AWS Cloud Certification, Git Hub Learning Lab, IBM Skills Gateway, Kaggle Online course, LeetCode, LinkedIn Learning, MicrosoftLearn, W3Schools","IT, BPO, and Business Services",Career shifter,Work city same as residence,Quezon City ,"15,000 and below",Full-time,100% onsite,Technical Support ,Data Analyst,6 to 10,none,  ,"Snowflake, Vertica, MSSQL",Airflow,na,  ,N/A, ,"Amazon Web Services (AWS), Google Cloud Platform (GCP), Microsoft Azure, Snowflake",N/A,"Google sheets, Excel, Google Drive, Zoom, Discord",R,Chatgpt,na,desktop,"No, I just found out now.","Yes, I have used at least one resource.","AI Pilipinas, Big Data Analytics PH, Community: SPARTA PH, Data Analytics Philippines, Project SPARTA","Career advancement, Continued learning, Upskill / Skill acquisition",Answer surveys, ,"LinkedIn, Glassdoor",Local employer,37
College degree,"Antipolo, Rizal",Philippines,Male,"Coursera, Datacamp","IT, BPO, and Business Services",Career shifter,Work city different from residence,Mandaluyong city,"25,001 to 35,000",Full-time,100% onsite,Management,"Data Scientist, Machine Learning Engineer",6 to 10,_,NA,na, ,Power BI,na,_, ,_,N/A,"Excel, Google Drive",RPG/400,Chatgpt,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Coordinate during events, Volunteer for group initiatives",  ,My network  - people I know,Local employer,23
Master's degree,"Paranaque, Philippines",Philippines,Male,"AWS Cloud Certification, Codecademy, Cybrary, Git Hub Learning Lab, Google Developers, IBM Skills Gateway, Pluralsight, Real Python, W3Schools, Youtube bootcamp",Banking / Finance / Insurance,Professional,Work city different from residence,Cavite City,"125,001 to 250,000",Full-time,Mostly work from home/ fully remote,Data Engineer,"Management, Data Engineer, Data Analyst, Business Analyst, Analytics Engineer, Cloud Architect",11 to 30,NONE,Power Bi (power query), ,None,NA,NA,na,_,"Amazon Web Services (AWS), Microsoft Azure",None,"Google sheets, Excel, Google Drive, OneDrive, MS Teams","Python, VBA, Matlab","Chatgpt, Copilot",NA,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power BI Philippines UG, Python Philippines","Career advancement, Continued learning, Decision to shift, Upskill / Skill acquisition",Joint initiative with other groups,na,LinkedIn,Multinational employer,29
Other - specify,"Davao City, Philippines",Philippines,Male,LinkedIn Learning,Education,Student/ New grad/ Career Break,  ,_,,NONE,N/A,_,  ,none,N/A, ,NA,., ,.,None,NA,  ,na,"Google Drive, Discord","Python, SQL","Chatgpt, Copilot, Gemini, Github copilot",Azure Notebooks,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Data Science Philippines","Career advancement, Continued learning, Upskill / Skill acquisition","Answer surveys, Volunteer for group initiatives",nothing as of the moment,_,Local employer,23
College degree,"Manila, Philippines",Philippines,Male,"AWS Cloud Certification, Datacamp, IBM Skills Gateway, Kaggle Online course, LeetCode, MicrosoftLearn","IT, BPO, and Business Services",Career shifter,Work city different from residence,East Melbourne,"35,001 to 45,000",Full-time,Mostly work from home/ fully remote,Data Analyst,"Analytics Engineer, Product Advocate, UI/UX Designer",6 to 10,"Don't know, None","Don't know, None",Databricks,_,Looker,_,Don't know,.,"Microsoft Azure, Databricks",Don't know,"Google sheets, Excel, Google Drive, OneDrive","Python, R, SQL",Chatgpt,NONE,laptop,"Yes, I am aware of the free resources in the DEP website.","Yes, I have used at least one resource.","Data Analytics Philippines, Power Apps Pilipinas Community, Power BI Philippines UG, Python Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Connect with sponsors, Coordinate during events, Joint initiative with other groups, Regularly post content, Resource for specific topic, Volunteer for group initiatives", ,"LinkedIn, Indeed",Multinational employer,31
College degree,"Taguig, Philippines",Philippines,Male,"Codecademy, LeetCode, MicrosoftLearn, Udemy, W3Schools, Youtube bootcamp",Shipping,Professional,Work city different from residence,Taguig,"15,000 and below",Full-time,Mostly work from home/ fully remote,System Administrator ,"Data Analyst, HR Technical Recruiter",4 to 5,Fivetran,SQL/Snowflake,AWS Redshift,Airflow,none,none,N/A,_,na,none,"Excel, OneDrive, Zoom, MS Teams","Appscript (Google), Javascript, M language (Power Query), Python",na,N/A,desktop,"Yes, I am aware of the free resources in the DEP website.","No, I just browsed through.","AIM-Master of Science in Data Science, Analytics Association of the Philippines, AWS AI/ML, Data Analytics Philippines, Data and Analytics Manila, Datasense Philippines, DevOps Philippines, DEVCON Community Group, Java User Group Philippines, Power BI Philippines UG, Power BI Users Meetup, Project SPARTA, R User Group - Philippines","Career advancement, Continued learning, Upskill / Skill acquisition, Network","Answer surveys, Mentor, Co-training/ Training",na,LinkedIn,Multinational employer,25
